Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AD-Condutor Moto/Ônibus;4667
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AE-Condutor Moto/Carreta;652
Centro-Oeste;Distrito Federal;Masculino;61 a 70;B-Condutor Carro;52444
Centro-Oeste;Distrito Federal;Masculino;61 a 70;C-Condutor Caminhão;2128
Centro-Oeste;Distrito Federal;Masculino;61 a 70;D-Condutor Ônibus;14546
Centro-Oeste;Distrito Federal;Masculino;61 a 70;E-Condutor Carreta;1608
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;71 a 80;A-Condutor Moto;33
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AB-Condutor Moto/Carro;2819
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AC-Condutor Moto/Caminhão;105
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AD-Condutor Moto/Ônibus;846
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AE-Condutor Moto/Carreta;78
Centro-Oeste;Distrito Federal;Masculino;71 a 80;B-Condutor Carro;31637
Centro-Oeste;Distrito Federal;Masculino;71 a 80;C-Condutor Caminhão;862
Centro-Oeste;Distrito Federal;Masculino;71 a 80;D-Condutor Ônibus;5849
Centro-Oeste;Distrito Federal;Masculino;71 a 80;E-Condutor Carreta;395
Centro-Oeste;Distrito Federal;Masculino;71 a 80;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;81 a 90;A-Condutor Moto;12
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AB-Condutor Moto/Carro;764
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AC-Condutor Moto/Caminhão;23
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AD-Condutor Moto/Ônibus;192
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AE-Condutor Moto/Carreta;5
Centro-Oeste;Distrito Federal;Masculino;81 a 90;B-Condutor Carro;14924
Centro-Oeste;Distrito Federal;Masculino;81 a 90;C-Condutor Caminhão;317
Centro-Oeste;Distrito Federal;Masculino;81 a 90;D-Condutor Ônibus;2328
Centro-Oeste;Distrito Federal;Masculino;81 a 90;E-Condutor Carreta;77
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AB-Condutor Moto/Carro;136
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AC-Condutor Moto/Caminhão;3
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AD-Condutor Moto/Ônibus;22
Centro-Oeste;Distrito Federal;Masculino;91 a 100;B-Condutor Carro;4452
Centro-Oeste;Distrito Federal;Masculino;91 a 100;C-Condutor Caminhão;42
Centro-Oeste;Distrito Federal;Masculino;91 a 100;D-Condutor Ônibus;340
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AB-Condutor Moto/Carro;13
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Distrito Federal;Masculino;101 a 120;B-Condutor Carro;440
Centro-Oeste;Distrito Federal;Masculino;101 a 120;D-Condutor Ônibus;9
Centro-Oeste;Distrito Federal;Feminino;18 a 21;A-Condutor Moto;69
Centro-Oeste;Distrito Federal;Feminino;18 a 21;AB-Condutor Moto/Carro;2591
Centro-Oeste;Distrito Federal;Feminino;18 a 21;B-Condutor Carro;18066
Centro-Oeste;Distrito Federal;Feminino;22 a 25;A-Condutor Moto;277
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AB-Condutor Moto/Carro;6186
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AD-Condutor Moto/Ônibus;14
Centro-Oeste;Distrito Federal;Feminino;22 a 25;B-Condutor Carro;41353
Centro-Oeste;Distrito Federal;Feminino;22 a 25;D-Condutor Ônibus;42
Centro-Oeste;Distrito Federal;Feminino;26 a 30;A-Condutor Moto;464
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AB-Condutor Moto/Carro;11094
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AC-Condutor Moto/Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AD-Condutor Moto/Ônibus;136
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AE-Condutor Moto/Carreta;2
Centro-Oeste;Distrito Federal;Feminino;26 a 30;B-Condutor Carro;64993
Centro-Oeste;Distrito Federal;Feminino;26 a 30;C-Condutor Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;26 a 30;D-Condutor Ônibus;226
Centro-Oeste;Distrito Federal;Feminino;26 a 30;E-Condutor Carreta;1
Centro-Oeste;Distrito Federal;Feminino;31 a 40;A-Condutor Moto;1088
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AB-Condutor Moto/Carro;22329
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AC-Condutor Moto/Caminhão;4
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AD-Condutor Moto/Ônibus;710
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AE-Condutor Moto/Carreta;50
Centro-Oeste;Distrito Federal;Feminino;31 a 40;B-Condutor Carro;171225
Centro-Oeste;Distrito Federal;Feminino;31 a 40;C-Condutor Caminhão;3
Centro-Oeste;Distrito Federal;Feminino;31 a 40;D-Condutor Ônibus;1139
Centro-Oeste;Distrito Federal;Feminino;31 a 40;E-Condutor Carreta;11
Centro-Oeste;Distrito Federal;Feminino;41 a 50;A-Condutor Moto;485
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AB-Condutor Moto/Carro;9550
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AC-Condutor Moto/Caminhão;42
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AD-Condutor Moto/Ônibus;640
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AE-Condutor Moto/Carreta;46
Centro-Oeste;Distrito Federal;Feminino;41 a 50;B-Condutor Carro;138106
Centro-Oeste;Distrito Federal;Feminino;41 a 50;C-Condutor Caminhão;74
Centro-Oeste;Distrito Federal;Feminino;41 a 50;D-Condutor Ônibus;1602
Centro-Oeste;Distrito Federal;Feminino;41 a 50;E-Condutor Carreta;34
Centro-Oeste;Distrito Federal;Feminino;41 a 50;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Feminino;51 a 60;A-Condutor Moto;111
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AB-Condutor Moto/Carro;3594
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AC-Condutor Moto/Caminhão;52
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AD-Condutor Moto/Ônibus;272
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AE-Condutor Moto/Carreta;18
Centro-Oeste;Distrito Federal;Feminino;51 a 60;B-Condutor Carro;90212
Centro-Oeste;Distrito Federal;Feminino;51 a 60;C-Condutor Caminhão;167
Centro-Oeste;Distrito Federal;Feminino;51 a 60;D-Condutor Ônibus;1147
Centro-Oeste;Distrito Federal;Feminino;51 a 60;E-Condutor Carreta;17
Centro-Oeste;Distrito Federal;Feminino;61 a 70;A-Condutor Moto;6
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AB-Condutor Moto/Carro;882
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AC-Condutor Moto/Caminhão;11
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AD-Condutor Moto/Ônibus;44
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AE-Condutor Moto/Carreta;5
Centro-Oeste;Distrito Federal;Feminino;61 a 70;B-Condutor Carro;51124
Centro-Oeste;Distrito Federal;Feminino;61 a 70;C-Condutor Caminhão;49
Centro-Oeste;Distrito Federal;Feminino;61 a 70;D-Condutor Ônibus;427
Centro-Oeste;Distrito Federal;Feminino;61 a 70;E-Condutor Carreta;7
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AB-Condutor Moto/Carro;84
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AD-Condutor Moto/Ônibus;5
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Feminino;71 a 80;B-Condutor Carro;20864
Centro-Oeste;Distrito Federal;Feminino;71 a 80;C-Condutor Caminhão;10
Centro-Oeste;Distrito Federal;Feminino;71 a 80;D-Condutor Ônibus;76
Centro-Oeste;Distrito Federal;Feminino;81 a 90;AB-Condutor Moto/Carro;12
Centro-Oeste;Distrito Federal;Feminino;81 a 90;B-Condutor Carro;6017
Centro-Oeste;Distrito Federal;Feminino;81 a 90;C-Condutor Caminhão;4
Centro-Oeste;Distrito Federal;Feminino;81 a 90;D-Condutor Ônibus;15
Centro-Oeste;Distrito Federal;Feminino;91 a 100;AB-Condutor Moto/Carro;1
Centro-Oeste;Distrito Federal;Feminino;91 a 100;B-Condutor Carro;1002
Centro-Oeste;Distrito Federal;Feminino;101 a 120;B-Condutor Carro;48
Centro-Oeste;Distrito Federal;Feminino;101 a 120;E-Condutor Carreta;1
Centro-Oeste;Goiás;Masculino;18 a 21;A-Condutor Moto;2101
Centro-Oeste;Goiás;Masculino;18 a 21;AB-Condutor Moto/Carro;50736
Centro-Oeste;Goiás;Masculino;18 a 21;AC-Condutor Moto/Caminhão;204
Centro-Oeste;Goiás;Masculino;18 a 21;AD-Condutor Moto/Ônibus;159
Centro-Oeste;Goiás;Masculino;18 a 21;AE-Condutor Moto/Carreta;19
Centro-Oeste;Goiás;Masculino;18 a 21;B-Condutor Carro;15725
Centro-Oeste;Goiás;Masculino;18 a 21;C-Condutor Caminhão;31
Centro-Oeste;Goiás;Masculino;18 a 21;D-Condutor Ônibus;11
Centro-Oeste;Goiás;Masculino;22 a 25;A-Condutor Moto;6044
Centro-Oeste;Goiás;Masculino;22 a 25;AB-Condutor Moto/Carro;96888
Centro-Oeste;Goiás;Masculino;22 a 25;AC-Condutor Moto/Caminhão;541
Centro-Oeste;Goiás;Masculino;22 a 25;AD-Condutor Moto/Ônibus;4326
Centro-Oeste;Goiás;Masculino;22 a 25;AE-Condutor Moto/Carreta;667
Centro-Oeste;Goiás;Masculino;22 a 25;B-Condutor Carro;26446
Centro-Oeste;Goiás;Masculino;22 a 25;C-Condutor Caminhão;60
Centro-Oeste;Goiás;Masculino;22 a 25;D-Condutor Ônibus;334
Centro-Oeste;Goiás;Masculino;22 a 25;E-Condutor Carreta;52
Centro-Oeste;Goiás;Masculino;26 a 30;A-Condutor Moto;11139
Centro-Oeste;Goiás;Masculino;26 a 30;AB-Condutor Moto/Carro;131338
Centro-Oeste;Goiás;Masculino;26 a 30;AC-Condutor Moto/Caminhão;1356
Centro-Oeste;Goiás;Masculino;26 a 30;AD-Condutor Moto/Ônibus;16072
Centro-Oeste;Goiás;Masculino;26 a 30;AE-Condutor Moto/Carreta;4855
Centro-Oeste;Goiás;Masculino;26 a 30;B-Condutor Carro;32101
Centro-Oeste;Goiás;Masculino;26 a 30;C-Condutor Caminhão;118
Centro-Oeste;Goiás;Masculino;26 a 30;D-Condutor Ônibus;1059
Centro-Oeste;Goiás;Masculino;26 a 30;E-Condutor Carreta;236
Centro-Oeste;Goiás;Masculino;31 a 40;A-Condutor Moto;22202
Centro-Oeste;Goiás;Masculino;31 a 40;AB-Condutor Moto/Carro;242339
Centro-Oeste;Goiás;Masculino;31 a 40;AC-Condutor Moto/Caminhão;3414
Centro-Oeste;Goiás;Masculino;31 a 40;AD-Condutor Moto/Ônibus;57628
Centro-Oeste;Goiás;Masculino;31 a 40;AE-Condutor Moto/Carreta;23695
Centro-Oeste;Goiás;Masculino;31 a 40;B-Condutor Carro;73208
Centro-Oeste;Goiás;Masculino;31 a 40;C-Condutor Caminhão;772
Centro-Oeste;Goiás;Masculino;31 a 40;D-Condutor Ônibus;7524
Centro-Oeste;Goiás;Masculino;31 a 40;E-Condutor Carreta;3024
Centro-Oeste;Goiás;Masculino;41 a 50;A-Condutor Moto;14591
Centro-Oeste;Goiás;Masculino;41 a 50;AB-Condutor Moto/Carro;151935
Centro-Oeste;Goiás;Masculino;41 a 50;AC-Condutor Moto/Caminhão;9790
Centro-Oeste;Goiás;Masculino;41 a 50;AD-Condutor Moto/Ônibus;49249
Centro-Oeste;Goiás;Masculino;41 a 50;AE-Condutor Moto/Carreta;21699
Centro-Oeste;Goiás;Masculino;41 a 50;B-Condutor Carro;77612
Centro-Oeste;Goiás;Masculino;41 a 50;C-Condutor Caminhão;4181
