Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;184
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;12371
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;14
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;57
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;22254
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;9
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;18
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;794
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;27131
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;32
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1598
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;95
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;39771
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;13
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;687
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;28
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1264
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;42045
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;55
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;6486
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;769
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;51588
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;20
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;2656
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;153
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2644
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;83684
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;337
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;25084
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;4300
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;121907
Centro-Oeste;Distrito Federal;Masculino;31 a 40;C-Condutor Caminhão;257
Centro-Oeste;Distrito Federal;Masculino;31 a 40;D-Condutor Ônibus;14071
Centro-Oeste;Distrito Federal;Masculino;31 a 40;E-Condutor Carreta;1623
Centro-Oeste;Distrito Federal;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;41 a 50;A-Condutor Moto;1366
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AB-Condutor Moto/Carro;45116
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AC-Condutor Moto/Caminhão;2068
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AD-Condutor Moto/Ônibus;22972
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AE-Condutor Moto/Carreta;4399
Centro-Oeste;Distrito Federal;Masculino;41 a 50;B-Condutor Carro;100685
Centro-Oeste;Distrito Federal;Masculino;41 a 50;C-Condutor Caminhão;1898
Centro-Oeste;Distrito Federal;Masculino;41 a 50;D-Condutor Ônibus;23147
Centro-Oeste;Distrito Federal;Masculino;41 a 50;E-Condutor Carreta;3180
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XC-Condutor Ciclomotor/Caminhão;2
Centro-Oeste;Distrito Federal;Masculino;51 a 60;A-Condutor Moto;490
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AB-Condutor Moto/Carro;23979
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AC-Condutor Moto/Caminhão;2492
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AD-Condutor Moto/Ônibus;13263
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AE-Condutor Moto/Carreta;2098
Centro-Oeste;Distrito Federal;Masculino;51 a 60;B-Condutor Carro;69791
Centro-Oeste;Distrito Federal;Masculino;51 a 60;C-Condutor Caminhão;2879
Centro-Oeste;Distrito Federal;Masculino;51 a 60;D-Condutor Ônibus;20352
Centro-Oeste;Distrito Federal;Masculino;51 a 60;E-Condutor Carreta;2372
Centro-Oeste;Distrito Federal;Masculino;51 a 60;XB-Condutor Ciclomotor/Carro;3
Centro-Oeste;Distrito Federal;Masculino;51 a 60;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;61 a 70;A-Condutor Moto;144
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AB-Condutor Moto/Carro;8672
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AC-Condutor Moto/Caminhão;702
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AD-Condutor Moto/Ônibus;4213
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AE-Condutor Moto/Carreta;577
Centro-Oeste;Distrito Federal;Masculino;61 a 70;B-Condutor Carro;49833
Centro-Oeste;Distrito Federal;Masculino;61 a 70;C-Condutor Caminhão;2234
Centro-Oeste;Distrito Federal;Masculino;61 a 70;D-Condutor Ônibus;14580
Centro-Oeste;Distrito Federal;Masculino;61 a 70;E-Condutor Carreta;1533
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;71 a 80;A-Condutor Moto;28
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AB-Condutor Moto/Carro;2436
