Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;102
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;10533
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;8
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;39
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;15999
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;12
Centro-Oeste;Distrito Federal;Masculino;18 a 21;E-Condutor Carreta;2
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;444
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;24162
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;24
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1140
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;76
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;32538
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;22
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;410
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;24
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;932
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;39940
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;27
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;4146
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;552
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;51090
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;13
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;1557
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;124
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2360
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;91566
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;147
