Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AE-Condutor Moto/Carreta;1154
Centro-Oeste;Distrito Federal;Masculino;61 a 70;B-Condutor Carro;60204
Centro-Oeste;Distrito Federal;Masculino;61 a 70;C-Condutor Caminhão;1999
Centro-Oeste;Distrito Federal;Masculino;61 a 70;D-Condutor Ônibus;14692
Centro-Oeste;Distrito Federal;Masculino;61 a 70;E-Condutor Carreta;1889
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;71 a 80;A-Condutor Moto;51
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AB-Condutor Moto/Carro;5009
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AC-Condutor Moto/Caminhão;157
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AD-Condutor Moto/Ônibus;1352
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AE-Condutor Moto/Carreta;162
Centro-Oeste;Distrito Federal;Masculino;71 a 80;B-Condutor Carro;41612
Centro-Oeste;Distrito Federal;Masculino;71 a 80;C-Condutor Caminhão;1047
Centro-Oeste;Distrito Federal;Masculino;71 a 80;D-Condutor Ônibus;7060
Centro-Oeste;Distrito Federal;Masculino;71 a 80;E-Condutor Carreta;626
Centro-Oeste;Distrito Federal;Masculino;71 a 80;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;81 a 90;A-Condutor Moto;19
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AB-Condutor Moto/Carro;1321
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AC-Condutor Moto/Caminhão;43
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AD-Condutor Moto/Ônibus;334
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AE-Condutor Moto/Carreta;11
Centro-Oeste;Distrito Federal;Masculino;81 a 90;B-Condutor Carro;21418
Centro-Oeste;Distrito Federal;Masculino;81 a 90;C-Condutor Caminhão;518
Centro-Oeste;Distrito Federal;Masculino;81 a 90;D-Condutor Ônibus;3522
Centro-Oeste;Distrito Federal;Masculino;81 a 90;E-Condutor Carreta;149
Centro-Oeste;Distrito Federal;Masculino;91 a 100;A-Condutor Moto;1
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AB-Condutor Moto/Carro;275
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AC-Condutor Moto/Caminhão;7
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AD-Condutor Moto/Ônibus;45
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Masculino;91 a 100;B-Condutor Carro;7804
Centro-Oeste;Distrito Federal;Masculino;91 a 100;C-Condutor Caminhão;103
Centro-Oeste;Distrito Federal;Masculino;91 a 100;D-Condutor Ônibus;808
Centro-Oeste;Distrito Federal;Masculino;91 a 100;E-Condutor Carreta;14
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AB-Condutor Moto/Carro;31
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AD-Condutor Moto/Ônibus;3
Centro-Oeste;Distrito Federal;Masculino;101 a 120;B-Condutor Carro;1342
Centro-Oeste;Distrito Federal;Masculino;101 a 120;C-Condutor Caminhão;4
Centro-Oeste;Distrito Federal;Masculino;101 a 120;D-Condutor Ônibus;53
Centro-Oeste;Distrito Federal;Feminino;18 a 21;A-Condutor Moto;38
Centro-Oeste;Distrito Federal;Feminino;18 a 21;AB-Condutor Moto/Carro;2958
Centro-Oeste;Distrito Federal;Feminino;18 a 21;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Distrito Federal;Feminino;18 a 21;B-Condutor Carro;16154
Centro-Oeste;Distrito Federal;Feminino;22 a 25;A-Condutor Moto;151
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AB-Condutor Moto/Carro;6622
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AD-Condutor Moto/Ônibus;17
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AE-Condutor Moto/Carreta;2
Centro-Oeste;Distrito Federal;Feminino;22 a 25;B-Condutor Carro;33817
Centro-Oeste;Distrito Federal;Feminino;22 a 25;D-Condutor Ônibus;12
Centro-Oeste;Distrito Federal;Feminino;26 a 30;A-Condutor Moto;375
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AB-Condutor Moto/Carro;11314
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AD-Condutor Moto/Ônibus;74
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AE-Condutor Moto/Carreta;4
Centro-Oeste;Distrito Federal;Feminino;26 a 30;B-Condutor Carro;61821
Centro-Oeste;Distrito Federal;Feminino;26 a 30;D-Condutor Ônibus;111
Centro-Oeste;Distrito Federal;Feminino;26 a 30;E-Condutor Carreta;1
Centro-Oeste;Distrito Federal;Feminino;31 a 40;A-Condutor Moto;940
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AB-Condutor Moto/Carro;26487
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AC-Condutor Moto/Caminhão;2
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AD-Condutor Moto/Ônibus;627
