Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;125
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;8728
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;11
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;9
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;14823
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;8
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;2
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;566
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;24567
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;25
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1117
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;61
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;36376
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;14
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;384
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;23
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1154
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;40451
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;38
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;4918
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;603
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;50872
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;14
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;2001
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;126
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2573
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;89253
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;167
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;22894
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;3978
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;117898
Centro-Oeste;Distrito Federal;Masculino;31 a 40;C-Condutor Caminhão;112
Centro-Oeste;Distrito Federal;Masculino;31 a 40;D-Condutor Ônibus;11013
Centro-Oeste;Distrito Federal;Masculino;31 a 40;E-Condutor Carreta;1211
Centro-Oeste;Distrito Federal;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;41 a 50;A-Condutor Moto;1530
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AB-Condutor Moto/Carro;53783
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AC-Condutor Moto/Caminhão;1491
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AD-Condutor Moto/Ônibus;24498
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AE-Condutor Moto/Carreta;4991
Centro-Oeste;Distrito Federal;Masculino;41 a 50;B-Condutor Carro;107980
Centro-Oeste;Distrito Federal;Masculino;41 a 50;C-Condutor Caminhão;1333
Centro-Oeste;Distrito Federal;Masculino;41 a 50;D-Condutor Ônibus;22034
Centro-Oeste;Distrito Federal;Masculino;41 a 50;E-Condutor Carreta;3201
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XC-Condutor Ciclomotor/Caminhão;2
Centro-Oeste;Distrito Federal;Masculino;51 a 60;A-Condutor Moto;607
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AB-Condutor Moto/Carro;28224
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AC-Condutor Moto/Caminhão;2424
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AD-Condutor Moto/Ônibus;14939
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AE-Condutor Moto/Carreta;2544
Centro-Oeste;Distrito Federal;Masculino;51 a 60;B-Condutor Carro;76952
Centro-Oeste;Distrito Federal;Masculino;51 a 60;C-Condutor Caminhão;2394
Centro-Oeste;Distrito Federal;Masculino;51 a 60;D-Condutor Ônibus;20169
Centro-Oeste;Distrito Federal;Masculino;51 a 60;E-Condutor Carreta;2488
Centro-Oeste;Distrito Federal;Masculino;51 a 60;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;61 a 70;A-Condutor Moto;180
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AB-Condutor Moto/Carro;11541
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AC-Condutor Moto/Caminhão;821
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AD-Condutor Moto/Ônibus;5224
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AE-Condutor Moto/Carreta;723
Centro-Oeste;Distrito Federal;Masculino;61 a 70;B-Condutor Carro;54460
Centro-Oeste;Distrito Federal;Masculino;61 a 70;C-Condutor Caminhão;2110
Centro-Oeste;Distrito Federal;Masculino;61 a 70;D-Condutor Ônibus;14779
Centro-Oeste;Distrito Federal;Masculino;61 a 70;E-Condutor Carreta;1688
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;71 a 80;A-Condutor Moto;38
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AB-Condutor Moto/Carro;3200
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AC-Condutor Moto/Caminhão;116
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AD-Condutor Moto/Ônibus;953
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AE-Condutor Moto/Carreta;99
Centro-Oeste;Distrito Federal;Masculino;71 a 80;B-Condutor Carro;33815
Centro-Oeste;Distrito Federal;Masculino;71 a 80;C-Condutor Caminhão;915
Centro-Oeste;Distrito Federal;Masculino;71 a 80;D-Condutor Ônibus;6141
Centro-Oeste;Distrito Federal;Masculino;71 a 80;E-Condutor Carreta;446
Centro-Oeste;Distrito Federal;Masculino;71 a 80;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;81 a 90;A-Condutor Moto;15
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AB-Condutor Moto/Carro;900
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AC-Condutor Moto/Caminhão;26
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AD-Condutor Moto/Ônibus;225
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AE-Condutor Moto/Carreta;8
Centro-Oeste;Distrito Federal;Masculino;81 a 90;B-Condutor Carro;16444
Centro-Oeste;Distrito Federal;Masculino;81 a 90;C-Condutor Caminhão;359
Centro-Oeste;Distrito Federal;Masculino;81 a 90;D-Condutor Ônibus;2647
Centro-Oeste;Distrito Federal;Masculino;81 a 90;E-Condutor Carreta;93
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AB-Condutor Moto/Carro;163
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AC-Condutor Moto/Caminhão;4
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AD-Condutor Moto/Ônibus;28
Centro-Oeste;Distrito Federal;Masculino;91 a 100;B-Condutor Carro;5204
Centro-Oeste;Distrito Federal;Masculino;91 a 100;C-Condutor Caminhão;54
Centro-Oeste;Distrito Federal;Masculino;91 a 100;D-Condutor Ônibus;429
Centro-Oeste;Distrito Federal;Masculino;91 a 100;E-Condutor Carreta;2
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AB-Condutor Moto/Carro;16
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Distrito Federal;Masculino;101 a 120;B-Condutor Carro;592
Centro-Oeste;Distrito Federal;Masculino;101 a 120;D-Condutor Ônibus;19
Centro-Oeste;Distrito Federal;Feminino;18 a 21;A-Condutor Moto;37
Centro-Oeste;Distrito Federal;Feminino;18 a 21;AB-Condutor Moto/Carro;1887
Centro-Oeste;Distrito Federal;Feminino;18 a 21;B-Condutor Carro;13467
Centro-Oeste;Distrito Federal;Feminino;22 a 25;A-Condutor Moto;224
