Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;94
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;9316
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;6
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;29
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;14675
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;8
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;12
Centro-Oeste;Distrito Federal;Masculino;18 a 21;E-Condutor Carreta;1
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;464
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;23810
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;29
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1098
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;65
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;34086
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;16
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;389
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;25
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1058
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;40176
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;32
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;4489
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;564
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;51278
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;11
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;1738
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;123
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2474
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;90842
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;158
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;21830
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;3944
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;114640
Centro-Oeste;Distrito Federal;Masculino;31 a 40;C-Condutor Caminhão;100
Centro-Oeste;Distrito Federal;Masculino;31 a 40;D-Condutor Ônibus;9653
Centro-Oeste;Distrito Federal;Masculino;31 a 40;E-Condutor Carreta;1079
Centro-Oeste;Distrito Federal;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;3
Centro-Oeste;Distrito Federal;Masculino;41 a 50;A-Condutor Moto;1614
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AB-Condutor Moto/Carro;58298
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AC-Condutor Moto/Caminhão;1184
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AD-Condutor Moto/Ônibus;25367
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AE-Condutor Moto/Carreta;5362
Centro-Oeste;Distrito Federal;Masculino;41 a 50;B-Condutor Carro;110928
Centro-Oeste;Distrito Federal;Masculino;41 a 50;C-Condutor Caminhão;1073
Centro-Oeste;Distrito Federal;Masculino;41 a 50;D-Condutor Ônibus;21333
Centro-Oeste;Distrito Federal;Masculino;41 a 50;E-Condutor Carreta;3127
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XC-Condutor Ciclomotor/Caminhão;2
Centro-Oeste;Distrito Federal;Masculino;51 a 60;A-Condutor Moto;657
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AB-Condutor Moto/Carro;30318
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AC-Condutor Moto/Caminhão;2373
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AD-Condutor Moto/Ônibus;15827
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AE-Condutor Moto/Carreta;2772
Centro-Oeste;Distrito Federal;Masculino;51 a 60;B-Condutor Carro;80289
Centro-Oeste;Distrito Federal;Masculino;51 a 60;C-Condutor Caminhão;2243
Centro-Oeste;Distrito Federal;Masculino;51 a 60;D-Condutor Ônibus;20262
Centro-Oeste;Distrito Federal;Masculino;51 a 60;E-Condutor Carreta;2581
Centro-Oeste;Distrito Federal;Masculino;51 a 60;XB-Condutor Ciclomotor/Carro;4
Centro-Oeste;Distrito Federal;Masculino;61 a 70;A-Condutor Moto;209
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AB-Condutor Moto/Carro;13069
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AC-Condutor Moto/Caminhão;924
